"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Fri Nov 10 11:48:20 CST 2023","Fri Nov 10 11:48:52 CST 2023","31731","726_testcase","test_login","TestLogin","","","登录D5F0218710007612","用户正常登录"
"failed","Fri Nov 10 11:42:56 CST 2023","Fri Nov 10 11:43:28 CST 2023","31645","774_testcase","test_login","TestLogin","","","登录D5F0218710007612","用户正常登录"
"broken","Thu Nov 09 21:03:46 CST 2023","Thu Nov 09 21:03:46 CST 2023","0","46_testcase","test_login","TestLogin","","","test_swipe","首页上滑"
"broken","Thu Nov 09 11:58:49 CST 2023","Thu Nov 09 11:58:49 CST 2023","0","338_testcase","test_login","TestLogin","","","test_swipe","首页上滑"
"broken","Thu Nov 09 20:07:39 CST 2023","Thu Nov 09 20:07:39 CST 2023","0","248_testcase","test_login","TestLogin","","","test_login","用户正常登录"
"broken","Thu Nov 09 22:18:31 CST 2023","Thu Nov 09 22:18:31 CST 2023","0","898_testcase","test_login","TestLogin","","","test_swipe","首页上滑"
"broken","Thu Nov 09 14:07:38 CST 2023","Thu Nov 09 14:07:38 CST 2023","0","490_testcase","test_login","TestLogin","","","test_swipe","首页上滑"
"broken","Thu Nov 09 22:17:37 CST 2023","Thu Nov 09 22:17:37 CST 2023","0","888_testcase","test_login","TestLogin","","","test_swipe","首页上滑"
"broken","Thu Nov 09 20:01:06 CST 2023","Thu Nov 09 20:01:06 CST 2023","0","967_testcase","test_login","TestLogin","","","test_swipe","首页上滑"
"broken","Thu Nov 09 13:12:03 CST 2023","Thu Nov 09 13:12:03 CST 2023","0","204_testcase","test_login","TestLogin","","","test_swipe","首页上滑"
"broken","Thu Nov 09 11:45:53 CST 2023","Thu Nov 09 11:45:53 CST 2023","0","171_testcase","test_login","TestLogin","","","test_swipe","首页上滑"
"broken","Thu Nov 09 14:48:15 CST 2023","Thu Nov 09 14:48:15 CST 2023","0","775_testcase","test_login","TestLogin","","","test_swipe","首页上滑"
"broken","Thu Nov 09 15:27:30 CST 2023","Thu Nov 09 15:27:30 CST 2023","0","630_testcase","test_login","TestLogin","","","test_swipe","首页上滑"
"broken","Fri Nov 10 11:17:28 CST 2023","Fri Nov 10 11:17:28 CST 2023","0","20_testcase","test_login","TestLogin","","","test_swipe","首页上滑"
"failed","Thu Oct 19 16:50:49 CST 2023","Thu Oct 19 16:51:23 CST 2023","33918","393_testcase","test_login","TestLogin","","","登录127.0.0.1:62001","用户正常登录"
"broken","Thu Nov 09 15:21:50 CST 2023","Thu Nov 09 15:21:50 CST 2023","0","370_testcase","test_login","TestLogin","","","test_login","用户正常登录"
"broken","Thu Nov 09 22:44:09 CST 2023","Thu Nov 09 22:44:09 CST 2023","0","402_testcase","test_login","TestLogin","","","test_login","用户正常登录"
"broken","Thu Oct 19 14:19:49 CST 2023","Thu Oct 19 14:20:20 CST 2023","31122","309_testcase","test_login","TestLogin","","","登录127.0.0.1:62001","用户正常登录"
"broken","Thu Nov 09 17:51:17 CST 2023","Thu Nov 09 17:51:17 CST 2023","0","541_testcase","test_login","TestLogin","","","test_swipe","首页上滑"
"passed","Thu Oct 19 16:29:03 CST 2023","Thu Oct 19 16:29:23 CST 2023","20355","414_testcase","test_login","TestLogin","","","首页上滑127.0.0.1:62001","首页上滑"
"failed","Fri Nov 10 11:21:06 CST 2023","Fri Nov 10 11:21:35 CST 2023","29172","978_testcase","test_login","TestLogin","","","登录D5F7N18327001530","用户正常登录"
"passed","Thu Nov 09 22:29:23 CST 2023","Thu Nov 09 22:29:37 CST 2023","13868","383_testcase","test_login","TestLogin","","","首页上滑T9Y0221C09002076","首页上滑"
